지 역,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년
영도구,-,-,-,-,-,-,-,-,102.479,103.166,102.114,86.357,86.625,85.968,86.123,87.03,87.58,87.729,88.04,89.092,90.559,89.219,89.476,90.415,91.524,92.826,93.986,95.697,97.89,100.255,105.152
부산진구,-,-,-,-,-,-,-,-,95.724,96.252,94.844,78.298,79.329,78.684,79.267,81.056,81.608,82.098,83.462,85.75,86.532,85.292,85.257,86.06,87.418,88.628,90.249,92.617,95.956,100.255,106.176
동래구,-,-,-,-,-,-,-,-,94.713,94.893,94.141,78.751,79.359,78.639,79.033,80.481,80.972,81.265,81.766,83.639,85.779,85.136,85.094,86.015,87.285,89.006,90.451,92.699,95.99,100.441,107.404
남구,-,-,-,-,-,-,-,-,96.668,97.21,97.044,80.765,81.299,80.477,80.88,82.313,82.874,83.197,83.893,84.969,85.782,84.902,84.76,85.49,86.472,88.115,89.853,92.495,95.699,100.36,107.235
북구,-,-,-,-,-,-,-,-,100.327,100.92,99.971,82.725,83.713,82.804,83.119,85.331,86.601,86.991,87.518,88.59,89.641,88.721,88.594,89.482,90.733,91.974,93.147,94.87,97.098,100.306,105.101
해운대구,-,-,-,-,-,-,-,-,91.212,91.394,90.478,74.36,74.86,74.202,74.581,77.47,78.154,78.499,80.219,81.803,82.664,82.642,82.79,83.688,84.947,86.752,88.035,90.108,93.551,100.488,109.586
사하구,-,-,-,-,-,-,-,-,97.575,97.751,96.85,81.149,81.775,80.534,80.638,83.209,83.952,84.246,85.207,87.063,89.553,89.429,89.433,90.433,91.877,93.179,93.979,95.583,97.649,100.273,104.693
금정구,-,-,-,-,-,-,-,-,91.143,91.326,90.212,75.565,76.453,77.49,77.552,79.09,80.163,80.83,82.63,85.178,86.993,86.536,86.561,87.511,88.972,90.528,92.132,94.076,96.628,100.385,107.134
강서구,-,-,-,-,-,-,-,-,60.324,60.523,60.614,54.526,56.588,57.579,57.752,62.443,64.316,67.676,72.74,76.409,80.386,83.336,84.16,85.826,87.705,89.867,91.54,93.501,96.842,100.324,107.159
연제구,-,-,-,-,-,-,-,94.275,94.284,94.511,93.536,77.875,78.838,78.561,79.578,82.098,82.741,83.055,84.061,85.677,87.838,86.992,86.907,87.847,89.035,90.385,91.553,93.328,96.029,100.476,107.411
수영구,-,-,-,-,-,-,-,91.594,91.749,92.172,90.875,75.741,76.318,75.168,76.127,80.788,81.492,81.876,83.178,84.906,86.638,85.646,85.562,86.433,87.705,89.182,90.667,92.946,96.084,100.459,108.251
사상구,-,-,-,-,-,-,-,92.701,93.089,93.845,93.208,77.055,78.186,77.428,77.514,80.016,80.674,80.988,81.808,85.532,89.168,88.79,88.406,89.714,91.263,92.464,93.349,95.244,97.323,100.301,105.59
기장군,-,-,-,-,-,-,-,48.806,49.576,50.715,51.949,48.105,52.062,54.283,55.476,62.556,65.592,68.974,73.139,77.468,81.111,82.995,83.828,85.618,87.297,89.307,91.256,93.866,96.668,100.377,107.407
대구(평균),-,-,-,-,-,-,-,-,84.406,85.329,84.723,71.81,73.191,72.419,72.723,74.254,75.397,76.58,79.12,82.43,84.83,84.445,84.685,85.872,87.072,88.451,89.935,92.766,96.532,100.327,104.922
중구,-,-,-,-,-,-,-,-,102.785,103.744,103.185,85.776,86.403,85.194,84.751,85.593,85.91,85.951,85.863,87.519,88.658,88.581,88.596,89.347,89.884,90.668,91.3,93.339,96.299,100.352,104.987
동구,-,-,-,-,-,-,-,-,76.744,78.064,78.307,66.955,68.658,67.642,67.723,68.957,69.926,71.214,74.691,79.532,82.307,81.839,81.987,83.518,85.766,88.003,89.928,92.838,96.778,100.371,104.934
서구,-,-,-,-,-,-,-,-,97.806,98.11,96.04,81.056,81.967,81.005,80.842,82.461,83.187,84.55,85.747,86.959,88.117,87.657,87.678,88.371,88.957,89.952,91.162,93.444,96.842,100.274,104.59
남구,-,-,-,-,-,-,-,-,97.766,98.472,98.54,83.109,84.076,82.932,83.006,83.23,83.288,83.521,84.34,86.234,88.112,87.726,88.019,88.725,89.197,89.784,90.46,92.464,96.278,100.324,104.173
북구,-,-,-,-,-,-,-,-,86.297,87.224,87.678,74.826,76.242,75.468,76.233,77.252,78.73,80.235,82.335,85.797,87.691,86.535,86.572,87.44,88.118,89.113,90.625,93.167,96.721,100.303,104.694
수성구,-,-,-,-,-,-,-,-,81.235,82.059,80.886,68.681,70.484,69.491,69.79,72.717,74.868,76.087,79.394,82.738,85.075,84.918,85.007,85.955,86.663,87.852,89.216,92.095,96.172,100.409,105.969
달서구,-,-,-,-,-,-,-,-,82.789,83.063,81.489,70.265,71.559,71.055,71.704,73.292,74.337,75.337,79.183,83.427,86.493,85.333,85.434,86.531,87.798,89.176,90.559,93.348,96.89,100.3,104.694
달성군,-,-,-,-,-,-,-,-,68.917,71.213,71.014,58.282,60.079,60.082,60.461,62.147,63.471,65.754,68.541,71.952,75.593,77.043,78.323,80.801,83.211,85.34,87.568,91.695,96.033,100.255,104.497
인천(평균),-,-,-,-,-,-,-,-,69.305,69.848,70.044,60.381,62.502,63.172,64.291,71.689,73.482,76.653,80.438,84.927,89.046,90.262,92.056,93.378,93.993,94.428,95.25,96.536,98.419,100.129,103.231
중구,-,-,-,-,-,-,-,-,57.142,58.056,58.767,52.156,54.917,57.995,59.517,68.275,69.927,73.757,79.256,85.857,91.865,93.21,94.112,94.59,94.919,94.03,93.82,96.206,98.357,100.174,102.599
동구,-,-,-,-,-,-,-,-,72.82,73.338,73.587,63.215,65.881,66.229,67.381,73.619,75.005,78.165,81.953,86.275,90.666,91.708,93.471,94.999,95.606,95.464,95.952,97.579,98.679,100.157,102.365
남구,-,-,-,-,-,-,-,75.426,75.404,75.645,75.661,64.687,66.251,66.197,67.082,73.411,74.815,77.397,80.21,84.22,88.326,93.047,94.766,95.685,95.738,95.771,96.483,97.175,98.59,100.125,102.992
연수구,-,-,-,-,-,-,-,67.311,67.689,68.777,69.148,59.375,61.51,61.835,63.018,70.312,72.48,75.996,79.493,83.727,88.024,89.051,90.829,91.911,92.328,93.584,94.835,96.37,98.419,100.187,103.369
남동구,-,-,-,-,-,-,-,-,73.89,74.327,74.528,64.04,66.262,66.534,67.771,74.649,76.417,79.04,82.073,86.606,90.427,89.928,91.342,92.61,93.199,93.727,94.756,96.541,98.351,100.184,103.479
부평구,-,-,-,-,-,-,-,77.935,78.068,78.373,78.059,66.356,68.098,68.308,69.449,77.976,79.625,82.57,86.497,88.804,92.296,91.928,93.68,95.07,95.589,95.94,96.295,96.828,98.682,100.079,103.944
계양구,-,-,-,-,-,-,-,71.536,72.016,72.363,72.753,62.556,64.509,64.781,65.842,74.312,76.149,79.34,83.146,86.034,89.332,88.993,91.2,92.717,94.049,94.281,95.393,96.735,98.713,100.07,102.985
서구,-,-,-,-,-,-,-,-,60.793,61.068,61.245,52.634,54.66,54.885,55.862,63.158,65.189,68.534,72.868,79.712,84.478,87.029,89.542,91.201,92.209,93.375,94.846,95.814,98.045,100.076,103.42
강화군,-,-,-,-,-,-,-,-,71.332,74.536,75.269,69.853,73.173,75.694,76.354,80.466,83.315,87.552,90.818,91.864,93.3,93.937,95.516,97.962,98.604,98.77,98.609,98.5,99.043,100.129,102.934
옹진군,-,-,-,-,-,-,-,-,79.062,79.712,79.847,69.098,73.424,74.821,76.502,79.171,80.869,82.564,84.882,87.597,90.398,90.078,92.97,96.167,97.239,96.975,96.817,98.054,98.957,99.897,101.847
광주(평균),-,-,-,-,-,-,-,-,92.431,93.508,94.146,84.498,85.602,85.344,85.028,85.916,86.7,87.3,88.928,90.209,91.058,90.244,90.544,91.147,91.831,92.888,93.582,94.81,97.53,100.284,104.47
동구,-,-,-,-,-,-,-,-,114.911,115.486,115.694,99.576,100.145,98.493,96.593,96.303,96.332,95.707,92.142,92.457,93.1,92.081,92.312,92.693,93.031,93.528,94.116,95.584,97.709,100.25,103.847
서구,-,-,-,-,-,-,-,-,89.272,91.908,92.202,82.632,83.887,83.977,84.019,85.031,85.859,86.574,87.667,88.74,89.805,89.24,89.716,90.513,91.088,92.148,92.731,94.212,97.137,100.044,103.933
남구,-,-,-,-,-,-,-,-,93.877,94.584,95.485,86.075,87.016,86.658,86.545,86.979,87.353,87.791,90.37,91.094,91.447,90.574,91.059,91.709,92.442,93.327,94.108,95.252,97.969,100.416,105.67
북구,-,-,-,-,-,-,-,-,95.068,95.764,96.493,86.907,87.788,87.419,87.201,87.971,88.048,88.18,90.42,92.262,92.664,91.487,91.628,92.038,92.81,93.784,94.693,95.745,98.244,100.367,103.883
광산구,-,-,-,-,-,-,-,-,78.25,79.051,79.972,74.223,76.011,76.628,76.789,78.864,81.087,82.926,86.662,88.269,89.712,89.137,89.405,90.104,90.905,92.311,92.907,94.04,96.994,100.345,105.058
대전(평균),-,-,-,-,-,-,-,-,75.48,75.601,75.692,69.37,69.63,69.463,70.16,72.438,76.404,78.12,83.435,86.9,88.188,87.333,87.56,88.918,90.223,91.354,92.278,93.98,96.905,100.246,103.617
동구,-,-,-,-,-,-,-,-,80.689,80.527,80.576,73.98,72.083,70.544,70.515,71.592,73.645,75.857,82.713,89.124,91.116,90.335,90.996,92.252,93.309,94.027,94.444,95.445,97.358,100.233,103.113
중구,-,-,-,-,-,-,-,-,95.135,94.669,94.112,86.301,84.155,82.782,82.443,83.311,85.099,86.236,87.832,90.719,91.55,90.518,90.706,91.982,93.139,94.042,94.658,95.778,97.804,100.244,103.138
서구,-,-,-,-,-,-,-,-,72.811,73.468,73.821,67.671,69.022,69.293,70.738,74.131,79.838,80.84,85.872,87.921,88.885,88.096,88.262,89.784,90.992,92.04,93.134,94.629,96.895,100.239,103.583
유성구,-,-,-,-,-,-,-,-,63.423,63.645,63.785,57.967,59.67,60.324,61.087,63.932,68.693,71.492,78.787,82.633,84.13,83.334,83.532,84.777,86.406,87.877,89.064,91.619,96.196,100.253,104.146
대덕구,-,-,-,-,-,-,-,-,81.274,81.486,82.016,75.896,76.041,76.224,77.119,78.688,81.39,82.665,86.309,90.059,91.451,90.423,90.428,91.897,92.915,93.936,94.512,95.544,97.456,100.252,103.343
울산(평균),-,-,-,-,-,-,-,-,-,-,90.181,77.972,79.147,78.947,79.247,80.627,81.16,82.623,84.326,86.803,89.323,89.073,89.346,90.004,90.989,92.487,93.752,95.486,97.893,100.194,103.743
중구,-,-,-,-,-,-,-,-,-,-,96.137,81.191,81.639,80.711,80.356,82.031,82.121,83.083,84.177,86.136,87.413,86.832,87.269,87.807,88.656,90.085,91.381,93.639,96.794,100.245,105.161
남구,-,-,-,-,-,-,-,-,-,-,93.457,79.527,80.982,80.654,81.43,82.708,83.255,84.132,85.258,87.983,90.245,90.172,90.211,90.824,91.302,92.716,94.092,95.504,97.857,100.182,103.864
동구,-,-,-,-,-,-,-,-,-,-,100.577,88.024,89.484,89.984,90.056,91.359,91.806,92.303,92.413,92.707,93.571,93.01,93.296,93.7,94.071,95.567,96.785,99.022,100.448,100.04,98.184
북구,-,-,-,-,-,-,-,-,-,-,83.716,74.152,76.013,76.379,76.539,77.298,78.713,80.29,82.304,85.812,88.929,88.667,88.848,89.437,90.778,92.346,93.722,95.632,97.823,100.128,104.399
울주군,-,-,-,-,-,-,-,-,-,-,81.559,72.601,73.344,73.236,73.36,75.129,75.467,78.412,81.735,84.406,88.13,87.922,88.412,89.274,90.863,92.448,93.536,95.162,97.703,100.269,104.455
세종(평균),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.168,87.74,91.713,95.906,100.486,107.535
경기(평균),27.402,33.455,49.473,60.38,69.245,69.302,64.409,64.24,65.176,65.968,66.392,56.659,59.216,60.354,61.508,69.548,73.108,77.585,81.968,86.13,89.77,89.529,90.619,91.963,93.315,94.284,95.144,96.321,97.99,100.176,103.632
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.22,95.092,96.281,97.972,100.178,103.652
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.509,96.976,97.652,98.585,100.125,102.949
수원시,31.896,37.6,49.374,62.192,74.907,75.323,69.249,70.743,71.646,71.983,72.387,62.17,64.404,65.354,66.636,74.587,77.223,80.374,84.251,88.814,92,90.966,91.795,93.175,94.647,95.299,95.796,96.981,98.368,100.173,103.245
장안구,-,43.036,55.67,70.512,83.339,84.263,77.575,78.259,78.792,79.052,79.25,69.348,71.145,71.838,72.716,78.253,79.947,82.633,85.833,89.724,92.596,91.514,92.139,93.539,95.115,95.791,96.372,97.398,98.445,100.071,102.704
권선구,-,35.527,47.813,59.748,74.01,73.822,70.495,72.848,74.168,74.309,74.799,64.402,65.791,66.021,67.096,75.54,77.1,80.126,84.72,89.712,93.056,92.146,93.144,94.473,95.96,96.065,96.173,97.285,98.619,100.28,103.118
팔달구,-,-,-,-,-,74.944,66.471,67.817,68.662,69.192,69.656,58.902,62.034,63.699,65.373,74.442,78.411,81.586,84.793,88.463,91.997,91.792,92.758,94.507,96.025,96.361,96.668,97.354,98.508,100.129,103.309
영통구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.793,78.409,82.652,87.977,91.029,89.363,90.076,91.255,92.633,93.966,94.832,96.41,98.074,100.152,103.538
성남시,25.641,30.664,55.063,66.397,78.014,75.01,69.15,67.579,68.053,68.516,68.653,56.864,58.212,58.684,59.35,65.703,74.939,80.127,84.482,89.168,92.416,90.514,91.246,92.241,93.41,94.369,95.654,96.456,97.756,100.196,103.588
수정구,-,-,56.148,68.349,79.93,77.241,71.23,69.841,69.828,69.868,69.777,57.804,58.535,58.898,59.537,65.827,73.627,77.187,81.525,87.519,90.57,89.297,90.384,91.318,92.639,93.934,95.103,96.104,97.609,100.246,104.932
중원구,-,-,63.307,75.321,88.933,87.991,81.581,79.855,79.735,79.615,79.392,65.944,66.612,66.845,67.152,71.994,79.543,80.679,84.573,89.681,93.151,91.233,92.532,93.52,94.661,95.462,95.91,96.624,97.795,100.141,102.944
분당구,-,-,-,-,73.48,69.153,63.463,61.754,62.972,64.126,64.646,53.475,55.31,55.898,56.695,63.533,73.854,80.98,85.451,89.586,92.841,90.743,91.234,92.247,93.38,94.277,95.79,96.547,97.802,100.19,103.224
의정부시,28.17,33.855,51.455,68.955,76.505,76.733,70.855,70.913,71.105,71.782,71.99,60.934,63.232,64.344,65.88,72.877,75.355,79.348,81.567,85.806,90.635,91.691,93.007,94.396,95.344,95.69,96.055,97.167,98.296,100.103,102.544
안양시(평균),30.191,35.602,55.551,74.015,80.418,80.339,74.111,73.225,73.137,73.496,73.746,63.325,64.813,65.809,66.528,74.732,76.864,80.353,84.681,89.189,92.898,91.636,92.364,92.895,93.382,93.565,94.514,95.691,97.525,100.106,103.432
만안구,-,-,-,-,-,82.966,76.447,75.178,74.787,75.02,75.2,65.074,66.039,66.456,67.116,75.155,77.209,80.57,84.327,89.035,92.361,91.226,91.882,92.657,93.309,93.62,94.64,95.836,97.652,100.102,103.511
동안구,-,-,-,-,-,78.331,72.347,71.777,71.963,72.439,72.744,62.142,63.975,65.373,66.134,74.444,76.628,80.21,84.895,89.276,93.22,91.881,92.65,93.035,93.425,93.534,94.442,95.604,97.45,100.109,103.384
부천시(평균),29.462,34.695,53.667,67.085,76.794,78.121,72.798,72.303,72.411,72.803,72.934,63.32,64.326,64.797,65.904,76.271,78.745,79.989,83.171,86.397,90.15,89.713,91.03,92.257,93.42,94.303,95.607,97.056,98.899,100.189,103.582
원미구,-,-,-,-,-,84.18,78.46,78.154,78.326,78.585,78.648,67.176,68.033,68.354,69.472,80.577,82.78,83.327,86.189,89.182,92.609,92.141,93.392,94.568,95.524,96.502,98.155,99.957,101.898,-,-
소사구,-,-,-,-,-,78.737,72.968,72.097,72.148,72.618,72.705,63.651,64.545,65.024,65.952,75.074,77.955,79.707,84.534,88.272,93.369,93.01,94.567,95.933,97.78,98.537,99.245,100.098,101.894,-,-
오정구,-,-,-,-,-,74.023,69.388,68.987,69.076,69.63,69.902,62.351,63.927,64.749,66.138,77.456,80.42,82.843,85.578,89.311,93.051,92.562,93.986,95.377,96.5,97.397,98.614,99.976,101.877,-,-
광명시,25.512,31.332,44.304,59.866,68.87,67.337,63.733,64.359,66.02,67.169,67.733,57.19,59.786,60.952,62.091,69.662,72.965,79.098,82.686,86.799,89.339,88.404,89.466,91.421,92.698,93.851,94.886,95.97,97.991,100.209,103.778
평택시,-,-,-,-,-,-,-,-,52.882,53.509,53.713,45.525,47.667,48.574,49.062,54.66,58.063,64.765,72.894,79.405,83.362,85.586,86.661,88.464,90.053,91.449,92.307,93.506,96.237,100.301,107.871
동두천시,35.746,42.593,68.249,79.409,90.04,92.774,86.376,86.14,86.156,86.84,87.274,73.676,75.87,76.585,76.561,82.419,84.012,87.744,89.929,92.422,95.255,95.02,95.593,96.343,97.189,97.685,97.739,98.005,98.836,100.084,101.745
안산시(평균),34.988,40.865,57.145,74.888,83.818,77.743,71.276,69.003,68.837,69.237,69.653,59.963,61.884,62.318,62.643,75.045,78.503,80.996,83.32,86.115,89.721,89.43,91.234,92.378,93.535,93.877,94.885,96.336,97.954,100.221,103.308
상록구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.643,83.279,85.635,88.577,91.245,90.965,91.996,93.193,94.345,94.649,95.474,96.726,97.954,100.204,103.248
단원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.285,79.693,81.999,84.713,88.843,88.543,90.8,91.916,93.074,93.44,94.556,96.119,97.954,100.235,103.362
